code,name,score,sector,roa_current,operating_margin_current,asset_turnover_current,debt_ratio_current,roa_current_beats_sector,operating_margin_current_beats_sector,asset_turnover_current_beats_sector,debt_ratio_current_beats_sector,sector_relative_strength,adjusted_score,net_income_positive,roa_increasing,roa_previous,debt_ratio_decreasing,debt_ratio_previous,shares_not_increasing,shares_current,shares_previous,operating_margin_increasing,operating_margin_previous,asset_turnover_increasing,asset_turnover_previous
009440,KC그린홀딩스,3,UNKNOWN,-1.73,-15.48,1.46,40.2,False,False,True,True,0.5,3.5,False,True,-6.1,True,76.52,False,22908.0,22435.0,False,-3.72,True,0.7
007370,진양제약,3,UNKNOWN,13.05,10.33,0.5,47.32,True,True,False,False,0.5,3.5,True,True,10.26,False,25.94,False,12651.0,12017.0,True,9.28,False,0.78
272450,진에어,3,UNKNOWN,7.8,11.16,1.19,81.16,False,True,True,False,0.5,3.5,True,False,14.06,True,84.98,True,52200.0,52200.0,False,14.27,False,1.34
009770,삼정펄프,3,UNKNOWN,12.73,2.99,0.55,13.43,True,False,False,True,0.5,3.5,True,True,5.34,False,9.01,True,2500.0,2500.0,False,3.65,False,0.73
064090,인크레더블버즈,3,UNKNOWN,19.04,-76.09,0.05,3.01,True,False,False,True,0.5,3.5,True,True,-11.63,True,39.7,False,49743.0,30548.0,False,-8.7,False,0.11
053270,구영테크,3,UNKNOWN,4.73,7.66,0.98,66.06,False,True,True,False,0.5,3.5,True,False,5.87,True,66.38,True,27410.0,27410.0,False,8.11,False,1.13
007860,서연,3,UNKNOWN,6.59,5.38,1.31,55.39,False,False,True,False,0.25,3.25,True,False,7.63,True,56.16,True,23480.0,23480.0,False,6.39,False,1.45
200880,서연이화,3,UNKNOWN,5.22,3.82,1.37,60.68,False,False,True,False,0.25,3.25,True,False,6.96,True,60.74,True,27028.0,27028.0,False,5.4,False,1.52
194370,제이에스코퍼레이션,3,UNKNOWN,4.47,10.43,0.68,69.5,False,True,False,False,0.25,3.25,True,False,5.58,True,72.28,False,27359.0,26671.0,False,10.85,True,0.61
053700,삼보모터스,3,UNKNOWN,3.62,3.46,1.3,68.45,False,False,True,False,0.25,3.25,True,True,2.87,True,69.26,False,22877.0,22742.0,False,3.58,False,1.39
010100,한국무브넥스,3,UNKNOWN,4.68,2.79,1.55,59.35,False,False,True,False,0.25,3.25,True,False,5.77,True,60.99,True,30450.0,30450.0,False,3.93,False,1.73
035460,기산텔레콤,3,UNKNOWN,7.15,5.26,0.82,53.4,False,False,False,False,0.0,3.0,True,True,4.34,False,50.34,True,14577.0,14577.0,False,5.95,False,0.84
020560,아시아나항공,3,UNKNOWN,2.73,1.83,0.64,92.78,False,False,False,False,0.0,3.0,True,True,-3.07,False,92.54,False,205991.0,74412.0,False,3.31,True,0.62
017370,우신시스템,3,UNKNOWN,3.97,5.1,0.9,67.26,False,False,False,False,0.0,3.0,True,False,7.81,True,70.42,True,18314.0,18314.0,False,6.41,False,1.3
001620,케이비아이동국실업,3,UNKNOWN,3.36,-0.94,0.87,70.46,False,False,False,False,0.0,3.0,True,True,1.3,False,68.5,True,111293.0,111293.0,False,0.69,False,1.04
003650,미창석유,2,UNKNOWN,10.76,10.56,0.88,15.63,True,True,False,True,0.75,2.75,True,False,11.44,False,12.35,True,1740.0,1740.0,False,11.73,False,0.98
029480,광무,2,UNKNOWN,36.91,-72.31,0.02,17.36,True,False,False,True,0.5,2.5,True,True,5.63,False,12.26,False,55029.0,47888.0,False,-10.74,False,0.19
009180,한솔로지스틱스,2,UNKNOWN,3.25,2.45,2.56,51.46,False,False,True,False,0.25,2.25,True,False,7.55,True,51.69,False,28156.0,27752.0,False,3.62,False,2.96
054930,유신,2,UNKNOWN,8.31,1.71,1.16,49.68,False,False,True,False,0.25,2.25,True,False,8.48,False,46.43,True,3000.0,3000.0,False,5.36,False,1.44
011760,현대코퍼레이션,2,UNKNOWN,3.87,1.87,3.33,68.66,False,False,True,False,0.25,2.25,True,False,5.87,False,68.22,True,13229.0,13229.0,False,1.91,False,3.39
142210,유니트론텍,2,UNKNOWN,6.32,5.07,2.29,57.68,False,False,True,False,0.25,2.25,True,False,8.05,False,54.41,True,19246.0,19246.0,False,5.17,False,2.41
003960,사조대림,2,UNKNOWN,4.51,5.03,1.24,60.51,False,False,True,False,0.25,2.25,True,False,8.49,False,43.71,True,9164.0,9164.0,False,6.23,False,1.63
199290,바이오프로테크,2,UNKNOWN,0.0,1.51,0.92,103.47,False,False,False,False,0.0,2.0,False,True,-0.73,False,100.0,True,16325.0,16325.0,False,5.57,False,1.04
